snp1	snp2	prior
cyp6	cyp5	(3,7);
cyp7	cyp5	(3,7);
cyp8	cyp5	(3,7);
cyp9	cyp5	(3,7);
cyp10	cyp5	(3,7);
cyp11	cyp5	(3,7);
cyp12	cyp5	(3,7);
cyp13	cyp5	(3,7);
cyp14	cyp5	(3,7);
cyp1	cyp8	(3,7);
cyp4	cyp8	(3,7);
cyp5	cyp8	(3,7);
cyp6	cyp8	(3,7);
cyp7	cyp8	(3,7);
cyp9	cyp8	(3,7);
cyp10	cyp8	(3,7);
cyp11	cyp8	(3,7);
cyp12	cyp8	(3,7);
cyp13	cyp8	(3,7);
cyp14	cyp8	(3,7);
cyp1	cyp9	(3,7);
cyp4	cyp9	(3,7);
cyp5	cyp9	(3,7);
cyp6	cyp9	(3,7);
cyp7	cyp9	(3,7);
cyp8	cyp9	(3,7);
cyp10	cyp9	(3,7);
cyp11	cyp9	(3,7);
cyp12	cyp9	(3,7);
cyp13	cyp9	(3,7);
cyp14	cyp9	(3,7);
cyp1	cyp10	(3,7);
cyp4	cyp10	(3,7);
cyp5	cyp10	(3,7);
cyp6	cyp10	(3,7);
cyp7	cyp10	(3,7);
cyp8	cyp10	(3,7);
cyp9	cyp10	(3,7);
cyp11	cyp10	(3,7);
cyp12	cyp10	(3,7);
cyp13	cyp10	(3,7);
cyp14	cyp10	(3,7);
cyp1	cyp11	(3,7);
cyp4	cyp11	(3,7);
cyp5	cyp11	(3,7);
cyp6	cyp11	(3,7);
cyp7	cyp11	(3,7);
cyp8	cyp11	(3,7);
cyp9	cyp11	(3,7);
cyp10	cyp11	(3,7);
cyp12	cyp11	(3,7);
cyp13	cyp11	(3,7);
cyp14	cyp11	(3,7);
cyp1	cyp12	(3,7);
cyp4	cyp12	(3,7);
cyp5	cyp12	(3,7);
cyp6	cyp12	(3,7);
cyp7	cyp12	(3,7);
cyp8	cyp12	(3,7);
cyp9	cyp12	(3,7);
cyp10	cyp12	(3,7);
cyp11	cyp12	(3,7);
cyp13	cyp12	(3,7);
cyp14	cyp12	(3,7);
abc6	abc5	(8,8);
abc7	abc5	(8,8);
abc1	abc5	(8,8);
abc2	abc5	(8,8);
abc3	abc5	(8,8);
abc4	abc5	(8,8);
abc8	abc5	(8,8);
abc9	abc5	(8,8);
abc10	abc5	(8,8);
abc5	abc6	(8,8);
abc7	abc6	(8,8);
abc1	abc6	(8,8);
abc2	abc6	(8,8);
abc3	abc6	(8,8);
abc4	abc6	(8,8);
abc8	abc6	(8,8);
abc9	abc6	(8,8);
abc10	abc6	(8,8);
abc5	abc7	(8,8);
abc6	abc7	(8,8);
abc1	abc7	(8,8);
abc2	abc7	(8,8);
abc3	abc7	(8,8);
abc4	abc7	(8,8);
abc8	abc7	(8,8);
abc9	abc7	(8,8);
abc10	abc7	(8,8);
abc5	abc1	(8,8);
abc6	abc1	(8,8);
abc7	abc1	(8,8);
abc2	abc1	(8,8);
abc3	abc1	(8,8);
abc4	abc1	(8,8);
abc8	abc1	(8,8);
abc9	abc1	(8,8);
abc10	abc1	(8,8);
abc5	abc2	(8,8);
abc6	abc2	(8,8);
abc7	abc2	(8,8);
abc1	abc2	(8,8);
abc3	abc2	(8,8);
abc4	abc2	(8,8);
abc8	abc2	(8,8);
abc9	abc2	(8,8);
abc10	abc2	(8,8);
abc5	abc3	(8,8);
abc6	abc3	(8,8);
abc7	abc3	(8,8);
abc1	abc3	(8,8);
abc2	abc3	(8,8);
abc4	abc3	(8,8);
abc8	abc3	(8,8);
abc9	abc3	(8,8);
abc10	abc3	(8,8);
abc5	abc4	(8,8);
abc6	abc4	(8,8);
abc7	abc4	(8,8);
abc1	abc4	(8,8);
abc2	abc4	(8,8);
abc3	abc4	(8,8);
abc8	abc4	(8,8);
abc9	abc4	(8,8);
abc10	abc4	(8,8);
abc5	abc8	(8,8);
abc6	abc8	(8,8);
abc7	abc8	(8,8);
abc1	abc8	(8,8);
abc2	abc8	(8,8);
abc3	abc8	(8,8);
abc4	abc8	(8,8);
abc9	abc8	(8,8);
abc10	abc8	(8,8);
abc5	abc9	(8,8);
abc6	abc9	(8,8);
abc7	abc9	(8,8);
abc1	abc9	(8,8);
abc2	abc9	(8,8);
abc3	abc9	(8,8);
abc4	abc9	(8,8);
abc8	abc9	(8,8);
abc10	abc9	(8,8);
abc5	abc10	(8,8);
abc6	abc10	(8,8);
abc7	abc10	(8,8);
abc1	abc10	(8,8);
abc2	abc10	(8,8);
abc3	abc10	(8,8);
abc4	abc10	(8,8);
abc8	abc10	(8,8);
abc9	abc10	(8,8);
cyp1	abc5	(3,8);
cyp4	abc5	(3,8);
cyp5	abc5	(3,8);
cyp6	abc5	(3,8);
cyp7	abc5	(3,8);
cyp8	abc5	(3,8);
cyp9	abc5	(3,8);
cyp10	abc5	(3,8);
cyp11	abc5	(3,8);
cyp12	abc5	(3,8);
cyp13	abc5	(3,8);
cyp14	abc5	(3,8);
cyp1	abc6	(3,8);
cyp4	abc6	(3,8);
cyp5	abc6	(3,8);
cyp6	abc6	(3,8);
cyp7	abc6	(3,8);
cyp8	abc6	(3,8);
cyp9	abc6	(3,8);
cyp10	abc6	(3,8);
cyp11	abc6	(3,8);
cyp12	abc6	(3,8);
cyp13	abc6	(3,8);
cyp14	abc6	(3,8);
cyp1	abc7	(3,8);
cyp4	abc7	(3,8);
cyp5	abc7	(3,8);
cyp6	abc7	(3,8);
cyp7	abc7	(3,8);
cyp8	abc7	(3,8);
cyp9	abc7	(3,8);
cyp10	abc7	(3,8);
cyp11	abc7	(3,8);
cyp12	abc7	(3,8);
cyp13	abc7	(3,8);
cyp14	abc7	(3,8);
cyp1	abc1	(3,8);
cyp4	abc1	(3,8);
cyp5	abc1	(3,8);
cyp6	abc1	(3,8);
cyp7	abc1	(3,8);
cyp8	abc1	(3,8);
cyp9	abc1	(3,8);
cyp10	abc1	(3,8);
cyp11	abc1	(3,8);
cyp12	abc1	(3,8);
cyp13	abc1	(3,8);
cyp14	abc1	(3,8);
cyp1	abc2	(3,8);
cyp4	abc2	(3,8);
cyp5	abc2	(3,8);
cyp6	abc2	(3,8);
cyp7	abc2	(3,8);
cyp8	abc2	(3,8);
cyp9	abc2	(3,8);
cyp10	abc2	(3,8);
cyp11	abc2	(3,8);
cyp12	abc2	(3,8);
cyp13	abc2	(3,8);
cyp14	abc2	(3,8);
cyp1	abc3	(3,8);
cyp4	abc3	(3,8);
cyp5	abc3	(3,8);
cyp6	abc3	(3,8);
cyp7	abc3	(3,8);
cyp8	abc3	(3,8);
cyp9	abc3	(3,8);
cyp10	abc3	(3,8);
cyp11	abc3	(3,8);
cyp12	abc3	(3,8);
cyp13	abc3	(3,8);
cyp14	abc3	(3,8);
cyp1	abc4	(3,8);
cyp4	abc4	(3,8);
cyp5	abc4	(3,8);
cyp6	abc4	(3,8);
cyp7	abc4	(3,8);
cyp8	abc4	(3,8);
cyp9	abc4	(3,8);
cyp10	abc4	(3,8);
cyp11	abc4	(3,8);
cyp12	abc4	(3,8);
cyp13	abc4	(3,8);
cyp14	abc4	(3,8);
cyp1	abc8	(3,8);
cyp4	abc8	(3,8);
cyp5	abc8	(3,8);
cyp6	abc8	(3,8);
cyp7	abc8	(3,8);
cyp8	abc8	(3,8);
cyp9	abc8	(3,8);
cyp10	abc8	(3,8);
cyp11	abc8	(3,8);
cyp12	abc8	(3,8);
cyp13	abc8	(3,8);
cyp14	abc8	(3,8);
cyp1	abc9	(3,8);
cyp4	abc9	(3,8);
cyp5	abc9	(3,8);
cyp6	abc9	(3,8);
cyp7	abc9	(3,8);
cyp8	abc9	(3,8);
cyp9	abc9	(3,8);
cyp10	abc9	(3,8);
cyp11	abc9	(3,8);
cyp12	abc9	(3,8);
cyp13	abc9	(3,8);
cyp14	abc9	(3,8);
cyp1	abc10	(3,8);
cyp4	abc10	(3,8);
cyp5	abc10	(3,8);
cyp6	abc10	(3,8);
cyp7	abc10	(3,8);
cyp8	abc10	(3,8);
cyp9	abc10	(3,8);
cyp10	abc10	(3,8);
cyp11	abc10	(3,8);
cyp12	abc10	(3,8);
cyp13	abc10	(3,8);
cyp14	abc10	(3,8);
sul2	sul1	(9,9);
sul3	sul1	(9,9);
sul4	sul1	(9,9);
sul5	sul1	(9,9);
sul1	sul2	(9,9);
sul3	sul2	(9,9);
sul4	sul2	(9,9);
sul5	sul2	(9,9);
sul1	sul3	(9,9);
sul2	sul3	(9,9);
sul4	sul3	(9,9);
sul5	sul3	(9,9);
sul1	sul4	(9,9);
sul2	sul4	(9,9);
sul3	sul4	(9,9);
sul5	sul4	(9,9);
sul1	sul5	(9,9);
sul2	sul5	(9,9);
sul3	sul5	(9,9);
sul4	sul5	(9,9);
cyp4	sul1	(6,9);
cyp5	sul1	(6,9);
cyp8	sul1	(6,9);
cyp9	sul1	(6,9);
cyp10	sul1	(6,9);
cyp11	sul1	(6,9);
cyp12	sul1	(6,9);
cyp13	sul1	(6,9);
cyp14	sul1	(6,9);
cyp4	sul2	(6,9);
cyp5	sul2	(6,9);
cyp8	sul2	(6,9);
cyp9	sul2	(6,9);
cyp10	sul2	(6,9);
cyp11	sul2	(6,9);
cyp12	sul2	(6,9);
cyp13	sul2	(6,9);
cyp14	sul2	(6,9);
cyp4	sul3	(6,9);
cyp5	sul3	(6,9);
cyp8	sul3	(6,9);
cyp9	sul3	(6,9);
cyp10	sul3	(6,9);
cyp11	sul3	(6,9);
cyp12	sul3	(6,9);
cyp13	sul3	(6,9);
cyp14	sul3	(6,9);
cyp4	sul4	(6,9);
cyp5	sul4	(6,9);
cyp8	sul4	(6,9);
cyp9	sul4	(6,9);
cyp10	sul4	(6,9);
cyp11	sul4	(6,9);
cyp12	sul4	(6,9);
cyp13	sul4	(6,9);
cyp14	sul4	(6,9);
cyp4	sul5	(6,9);
cyp5	sul5	(6,9);
cyp8	sul5	(6,9);
cyp9	sul5	(6,9);
cyp10	sul5	(6,9);
cyp11	sul5	(6,9);
cyp12	sul5	(6,9);
cyp13	sul5	(6,9);
cyp14	sul5	(6,9);
abc1	sul1	(7,9);
abc2	sul1	(7,9);
abc3	sul1	(7,9);
abc4	sul1	(7,9);
abc8	sul1	(7,9);
abc9	sul1	(7,9);
abc10	sul1	(7,9);
cyp4	sul1	(7,9);
cyp5	sul1	(7,9);
cyp8	sul1	(7,9);
cyp9	sul1	(7,9);
cyp10	sul1	(7,9);
cyp11	sul1	(7,9);
cyp12	sul1	(7,9);
abc1	sul2	(7,9);
abc2	sul2	(7,9);
abc3	sul2	(7,9);
abc4	sul2	(7,9);
abc8	sul2	(7,9);
abc9	sul2	(7,9);
abc10	sul2	(7,9);
cyp4	sul2	(7,9);
cyp5	sul2	(7,9);
cyp8	sul2	(7,9);
cyp9	sul2	(7,9);
cyp10	sul2	(7,9);
cyp11	sul2	(7,9);
cyp12	sul2	(7,9);
abc1	sul3	(7,9);
abc2	sul3	(7,9);
abc3	sul3	(7,9);
abc4	sul3	(7,9);
abc8	sul3	(7,9);
abc9	sul3	(7,9);
abc10	sul3	(7,9);
cyp4	sul3	(7,9);
cyp5	sul3	(7,9);
cyp8	sul3	(7,9);
cyp9	sul3	(7,9);
cyp10	sul3	(7,9);
cyp11	sul3	(7,9);
cyp12	sul3	(7,9);
abc1	sul4	(7,9);
abc2	sul4	(7,9);
abc3	sul4	(7,9);
abc4	sul4	(7,9);
abc8	sul4	(7,9);
abc9	sul4	(7,9);
abc10	sul4	(7,9);
cyp4	sul4	(7,9);
cyp5	sul4	(7,9);
cyp8	sul4	(7,9);
cyp9	sul4	(7,9);
cyp10	sul4	(7,9);
cyp11	sul4	(7,9);
cyp12	sul4	(7,9);
abc1	sul5	(7,9);
abc2	sul5	(7,9);
abc3	sul5	(7,9);
abc4	sul5	(7,9);
abc8	sul5	(7,9);
abc9	sul5	(7,9);
abc10	sul5	(7,9);
cyp4	sul5	(7,9);
cyp5	sul5	(7,9);
cyp8	sul5	(7,9);
cyp9	sul5	(7,9);
cyp10	sul5	(7,9);
cyp11	sul5	(7,9);
cyp12	sul5	(7,9);
ugt2	ugt1	(10,10);
ugt3	ugt1	(10,10);
ugt1	ugt2	(10,10);
ugt3	ugt2	(10,10);
ugt1	ugt3	(10,10);
ugt2	ugt3	(10,10);
cyp4	ugt1	(6,10);
cyp5	ugt1	(6,10);
cyp8	ugt1	(6,10);
cyp9	ugt1	(6,10);
cyp10	ugt1	(6,10);
cyp11	ugt1	(6,10);
cyp12	ugt1	(6,10);
cyp13	ugt1	(6,10);
cyp14	ugt1	(6,10);
cyp4	ugt2	(6,10);
cyp5	ugt2	(6,10);
cyp8	ugt2	(6,10);
cyp9	ugt2	(6,10);
cyp10	ugt2	(6,10);
cyp11	ugt2	(6,10);
cyp12	ugt2	(6,10);
cyp13	ugt2	(6,10);
cyp14	ugt2	(6,10);
cyp4	ugt3	(6,10);
cyp5	ugt3	(6,10);
cyp8	ugt3	(6,10);
cyp9	ugt3	(6,10);
cyp10	ugt3	(6,10);
cyp11	ugt3	(6,10);
cyp12	ugt3	(6,10);
cyp13	ugt3	(6,10);
cyp14	ugt3	(6,10);
abc1	ugt1	(7,10);
abc2	ugt1	(7,10);
abc3	ugt1	(7,10);
abc4	ugt1	(7,10);
abc8	ugt1	(7,10);
abc9	ugt1	(7,10);
abc10	ugt1	(7,10);
cyp4	ugt1	(7,10);
cyp5	ugt1	(7,10);
cyp8	ugt1	(7,10);
cyp9	ugt1	(7,10);
cyp10	ugt1	(7,10);
cyp11	ugt1	(7,10);
cyp12	ugt1	(7,10);
abc1	ugt2	(7,10);
abc2	ugt2	(7,10);
abc3	ugt2	(7,10);
abc4	ugt2	(7,10);
abc8	ugt2	(7,10);
abc9	ugt2	(7,10);
abc10	ugt2	(7,10);
cyp4	ugt2	(7,10);
cyp5	ugt2	(7,10);
cyp8	ugt2	(7,10);
cyp9	ugt2	(7,10);
cyp10	ugt2	(7,10);
cyp11	ugt2	(7,10);
cyp12	ugt2	(7,10);
abc1	ugt3	(7,10);
abc2	ugt3	(7,10);
abc3	ugt3	(7,10);
abc4	ugt3	(7,10);
abc8	ugt3	(7,10);
abc9	ugt3	(7,10);
abc10	ugt3	(7,10);
cyp4	ugt3	(7,10);
cyp5	ugt3	(7,10);
cyp8	ugt3	(7,10);
cyp9	ugt3	(7,10);
cyp10	ugt3	(7,10);
cyp11	ugt3	(7,10);
cyp12	ugt3	(7,10);
abc6	abc5	(11,11);
abc7	abc5	(11,11);
abc1	abc5	(11,11);
abc2	abc5	(11,11);
abc3	abc5	(11,11);
abc4	abc5	(11,11);
abc8	abc5	(11,11);
abc9	abc5	(11,11);
abc10	abc5	(11,11);
abc5	abc6	(11,11);
abc7	abc6	(11,11);
abc1	abc6	(11,11);
abc2	abc6	(11,11);
abc3	abc6	(11,11);
abc4	abc6	(11,11);
abc8	abc6	(11,11);
abc9	abc6	(11,11);
abc10	abc6	(11,11);
abc5	abc7	(11,11);
abc6	abc7	(11,11);
abc1	abc7	(11,11);
abc2	abc7	(11,11);
abc3	abc7	(11,11);
abc4	abc7	(11,11);
abc8	abc7	(11,11);
abc9	abc7	(11,11);
abc10	abc7	(11,11);
abc5	abc1	(11,11);
abc6	abc1	(11,11);
abc7	abc1	(11,11);
abc2	abc1	(11,11);
abc3	abc1	(11,11);
abc4	abc1	(11,11);
abc8	abc1	(11,11);
abc9	abc1	(11,11);
abc10	abc1	(11,11);
abc5	abc2	(11,11);
abc6	abc2	(11,11);
abc7	abc2	(11,11);
abc1	abc2	(11,11);
abc3	abc2	(11,11);
abc4	abc2	(11,11);
abc8	abc2	(11,11);
abc9	abc2	(11,11);
abc10	abc2	(11,11);
abc5	abc3	(11,11);
abc6	abc3	(11,11);
abc7	abc3	(11,11);
abc1	abc3	(11,11);
abc2	abc3	(11,11);
abc4	abc3	(11,11);
abc8	abc3	(11,11);
abc9	abc3	(11,11);
abc10	abc3	(11,11);
abc5	abc4	(11,11);
abc6	abc4	(11,11);
abc7	abc4	(11,11);
abc1	abc4	(11,11);
abc2	abc4	(11,11);
abc3	abc4	(11,11);
abc8	abc4	(11,11);
abc9	abc4	(11,11);
abc10	abc4	(11,11);
abc5	abc8	(11,11);
abc6	abc8	(11,11);
abc7	abc8	(11,11);
abc1	abc8	(11,11);
abc2	abc8	(11,11);
abc3	abc8	(11,11);
abc4	abc8	(11,11);
abc9	abc8	(11,11);
abc10	abc8	(11,11);
abc5	abc9	(11,11);
abc6	abc9	(11,11);
abc7	abc9	(11,11);
abc1	abc9	(11,11);
abc2	abc9	(11,11);
abc3	abc9	(11,11);
abc4	abc9	(11,11);
abc8	abc9	(11,11);
abc10	abc9	(11,11);
abc5	abc10	(11,11);
abc6	abc10	(11,11);
abc7	abc10	(11,11);
abc1	abc10	(11,11);
abc2	abc10	(11,11);
abc3	abc10	(11,11);
abc4	abc10	(11,11);
abc8	abc10	(11,11);
abc9	abc10	(11,11);
cyp4	abc5	(6,11);
cyp5	abc5	(6,11);
cyp8	abc5	(6,11);
cyp9	abc5	(6,11);
cyp10	abc5	(6,11);
cyp11	abc5	(6,11);
cyp12	abc5	(6,11);
cyp13	abc5	(6,11);
cyp14	abc5	(6,11);
cyp4	abc6	(6,11);
cyp5	abc6	(6,11);
cyp8	abc6	(6,11);
cyp9	abc6	(6,11);
cyp10	abc6	(6,11);
cyp11	abc6	(6,11);
cyp12	abc6	(6,11);
cyp13	abc6	(6,11);
cyp14	abc6	(6,11);
cyp4	abc7	(6,11);
cyp5	abc7	(6,11);
cyp8	abc7	(6,11);
cyp9	abc7	(6,11);
cyp10	abc7	(6,11);
cyp11	abc7	(6,11);
cyp12	abc7	(6,11);
cyp13	abc7	(6,11);
cyp14	abc7	(6,11);
cyp4	abc1	(6,11);
cyp5	abc1	(6,11);
cyp8	abc1	(6,11);
cyp9	abc1	(6,11);
cyp10	abc1	(6,11);
cyp11	abc1	(6,11);
cyp12	abc1	(6,11);
cyp13	abc1	(6,11);
cyp14	abc1	(6,11);
cyp4	abc2	(6,11);
cyp5	abc2	(6,11);
cyp8	abc2	(6,11);
cyp9	abc2	(6,11);
cyp10	abc2	(6,11);
cyp11	abc2	(6,11);
cyp12	abc2	(6,11);
cyp13	abc2	(6,11);
cyp14	abc2	(6,11);
cyp4	abc3	(6,11);
cyp5	abc3	(6,11);
cyp8	abc3	(6,11);
cyp9	abc3	(6,11);
cyp10	abc3	(6,11);
cyp11	abc3	(6,11);
cyp12	abc3	(6,11);
cyp13	abc3	(6,11);
cyp14	abc3	(6,11);
cyp4	abc4	(6,11);
cyp5	abc4	(6,11);
cyp8	abc4	(6,11);
cyp9	abc4	(6,11);
cyp10	abc4	(6,11);
cyp11	abc4	(6,11);
cyp12	abc4	(6,11);
cyp13	abc4	(6,11);
cyp14	abc4	(6,11);
cyp4	abc8	(6,11);
cyp5	abc8	(6,11);
cyp8	abc8	(6,11);
cyp9	abc8	(6,11);
cyp10	abc8	(6,11);
cyp11	abc8	(6,11);
cyp12	abc8	(6,11);
cyp13	abc8	(6,11);
cyp14	abc8	(6,11);
cyp4	abc9	(6,11);
cyp5	abc9	(6,11);
cyp8	abc9	(6,11);
cyp9	abc9	(6,11);
cyp10	abc9	(6,11);
cyp11	abc9	(6,11);
cyp12	abc9	(6,11);
cyp13	abc9	(6,11);
cyp14	abc9	(6,11);
cyp4	abc10	(6,11);
cyp5	abc10	(6,11);
cyp8	abc10	(6,11);
cyp9	abc10	(6,11);
cyp10	abc10	(6,11);
cyp11	abc10	(6,11);
cyp12	abc10	(6,11);
cyp13	abc10	(6,11);
cyp14	abc10	(6,11);
abc1	abc5	(7,11);
abc2	abc5	(7,11);
abc3	abc5	(7,11);
abc4	abc5	(7,11);
abc8	abc5	(7,11);
abc9	abc5	(7,11);
abc10	abc5	(7,11);
cyp4	abc5	(7,11);
cyp5	abc5	(7,11);
cyp8	abc5	(7,11);
cyp9	abc5	(7,11);
cyp10	abc5	(7,11);
cyp11	abc5	(7,11);
cyp12	abc5	(7,11);
abc1	abc6	(7,11);
abc2	abc6	(7,11);
abc3	abc6	(7,11);
abc4	abc6	(7,11);
abc8	abc6	(7,11);
abc9	abc6	(7,11);
abc10	abc6	(7,11);
cyp4	abc6	(7,11);
cyp5	abc6	(7,11);
cyp8	abc6	(7,11);
cyp9	abc6	(7,11);
cyp10	abc6	(7,11);
cyp11	abc6	(7,11);
cyp12	abc6	(7,11);
abc1	abc7	(7,11);
abc2	abc7	(7,11);
abc3	abc7	(7,11);
abc4	abc7	(7,11);
abc8	abc7	(7,11);
abc9	abc7	(7,11);
abc10	abc7	(7,11);
cyp4	abc7	(7,11);
cyp5	abc7	(7,11);
cyp8	abc7	(7,11);
cyp9	abc7	(7,11);
cyp10	abc7	(7,11);
cyp11	abc7	(7,11);
cyp12	abc7	(7,11);
abc2	abc1	(7,11);
abc3	abc1	(7,11);
abc4	abc1	(7,11);
abc8	abc1	(7,11);
abc9	abc1	(7,11);
abc10	abc1	(7,11);
cyp4	abc1	(7,11);
cyp5	abc1	(7,11);
cyp8	abc1	(7,11);
cyp9	abc1	(7,11);
cyp10	abc1	(7,11);
cyp11	abc1	(7,11);
cyp12	abc1	(7,11);
abc1	abc2	(7,11);
abc3	abc2	(7,11);
abc4	abc2	(7,11);
abc8	abc2	(7,11);
abc9	abc2	(7,11);
abc10	abc2	(7,11);
cyp4	abc2	(7,11);
cyp5	abc2	(7,11);
cyp8	abc2	(7,11);
cyp9	abc2	(7,11);
cyp10	abc2	(7,11);
cyp11	abc2	(7,11);
cyp12	abc2	(7,11);
abc1	abc3	(7,11);
abc2	abc3	(7,11);
abc4	abc3	(7,11);
abc8	abc3	(7,11);
abc9	abc3	(7,11);
abc10	abc3	(7,11);
cyp4	abc3	(7,11);
cyp5	abc3	(7,11);
cyp8	abc3	(7,11);
cyp9	abc3	(7,11);
cyp10	abc3	(7,11);
cyp11	abc3	(7,11);
cyp12	abc3	(7,11);
abc1	abc4	(7,11);
abc2	abc4	(7,11);
abc3	abc4	(7,11);
abc8	abc4	(7,11);
abc9	abc4	(7,11);
abc10	abc4	(7,11);
cyp4	abc4	(7,11);
cyp5	abc4	(7,11);
cyp8	abc4	(7,11);
cyp9	abc4	(7,11);
cyp10	abc4	(7,11);
cyp11	abc4	(7,11);
cyp12	abc4	(7,11);
abc1	abc8	(7,11);
abc2	abc8	(7,11);
abc3	abc8	(7,11);
abc4	abc8	(7,11);
abc9	abc8	(7,11);
abc10	abc8	(7,11);
cyp4	abc8	(7,11);
cyp5	abc8	(7,11);
cyp8	abc8	(7,11);
cyp9	abc8	(7,11);
cyp10	abc8	(7,11);
cyp11	abc8	(7,11);
cyp12	abc8	(7,11);
abc1	abc9	(7,11);
abc2	abc9	(7,11);
abc3	abc9	(7,11);
abc4	abc9	(7,11);
abc8	abc9	(7,11);
abc10	abc9	(7,11);
cyp4	abc9	(7,11);
cyp5	abc9	(7,11);
cyp8	abc9	(7,11);
cyp9	abc9	(7,11);
cyp10	abc9	(7,11);
cyp11	abc9	(7,11);
cyp12	abc9	(7,11);
abc1	abc10	(7,11);
abc2	abc10	(7,11);
abc3	abc10	(7,11);
abc4	abc10	(7,11);
abc8	abc10	(7,11);
abc9	abc10	(7,11);
cyp4	abc10	(7,11);
cyp5	abc10	(7,11);
cyp8	abc10	(7,11);
cyp9	abc10	(7,11);
cyp10	abc10	(7,11);
cyp11	abc10	(7,11);
cyp12	abc10	(7,11);
