treeindex	nnodes	beta	negloglik	logpost	distance
34	4	1.70417118583508	21423.6083060642	-21462.4620405937	0.0666666666666667
35	3	1.73132936053114	21429.6556052574	-21458.0515315475	0.0909090909090909
36	4	1.74299668800671	21422.0455285266	-21460.8905963894	0.0555555555555556
37	3	1.73132936053114	21429.6556052574	-21458.0542588202	0.0909090909090909
38	4	1.74299668800671	21422.0455285266	-21460.8905963894	0.0555555555555556
39	3	1.73132936053114	21429.6556052574	-21458.0542588202	0.0909090909090909
40	4	1.74299668800671	21422.0455285266	-21460.8939297228	0.0555555555555556
41	3	1.73132936053114	21429.6556052574	-21458.0597133657	0.0909090909090909
42	4	1.70417118583508	21423.6083060642	-21462.4700405937	0.0666666666666667
43	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
44	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
45	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
46	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
47	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
48	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
49	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
50	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
51	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
52	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
53	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
54	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
55	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
56	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
57	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
58	4	1.73200626262773	21427.3027511697	-21466.1752549299	0.0769230769230769
59	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
60	4	1.70417118583508	21423.6083060642	-21462.4700405937	0.0666666666666667
61	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
62	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
63	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
64	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
65	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
66	4	1.70417118583508	21423.6083060642	-21462.4700405937	0.0666666666666667
67	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
68	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
69	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
70	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
71	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
72	4	1.73024965125635	21429.5796177494	-21468.4588522788	0.0833333333333333
73	4	1.74701294915262	21427.3814630459	-21466.2151975754	0.04
74	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
75	4	1.74499205855364	21428.1109279949	-21466.9483146983	0.0434782608695652
76	4	1.7644911505355	21429.628260389	-21468.4677221912	0.0454545454545455
77	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
78	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
79	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
80	4	1.70417118583508	21423.6083060642	-21462.4700405937	0.0666666666666667
81	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
82	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
83	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
84	4	1.74299668800671	21422.0455285266	-21460.8955963894	0.0555555555555556
85	3	1.73132936053114	21429.6556052574	-21458.0624406384	0.0909090909090909
86	4	1.70417118583508	21423.6083060642	-21462.4720405937	0.0666666666666667
87	4	1.74701294915262	21427.3814630459	-21466.2163975754	0.04
88	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
89	4	1.70417118583508	21423.6083060642	-21462.4720405937	0.0666666666666667
90	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
91	4	1.73912556137923	21427.4953921374	-21466.3303266669	0.04
92	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
93	4	1.74299668800671	21422.0455285266	-21460.8972630561	0.0555555555555556
94	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
95	4	1.74299668800671	21422.0455285266	-21460.8972630561	0.0555555555555556
96	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
97	4	1.70417118583508	21423.6083060642	-21462.4720405937	0.0666666666666667
98	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
99	4	1.74299668800671	21422.0455285266	-21460.8972630561	0.0555555555555556
100	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
101	4	1.74299668800671	21422.0455285266	-21460.8972630561	0.0555555555555556
102	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
103	4	1.74299668800671	21422.0455285266	-21460.8972630561	0.0555555555555556
104	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
105	4	1.74299668800671	21422.0455285266	-21460.8972630561	0.0555555555555556
106	3	1.73132936053114	21429.6556052574	-21458.0651679111	0.0909090909090909
