i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
7497	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-714.87361097264	23.2	-1.7500755488569
7498	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	NA	0.0428571428571429	-0.623550830572097
7499	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-110.285037529177	23.2	-1.5478009257256
7500	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-104.61948829575	1	-1.7247259175885
7501	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	NA	0.0428571428571429	-1.81907979274772
7502	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-7.23059638968326	0.0428571428571429	-0.345027295711725
7503	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-911.836419423416	1	-1.36700102802548
7504	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-7.59431732888697	1	-0.215645470637782
7505	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	-7.46689278345721	0.0428571428571429	-2.12100114501888
7506	82	FALSE	4	0.0555555555555556	-21422.0455285266	-21460.8955963894	NA	1	-1.22392639331583
7507	83	TRUE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-0.310996527644021	23.2	-0.708869470296803
7508	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.72330080682645	0.0431034482758621	-0.256063344214749
7509	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-0.378000394687407
7510	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-110.003209076629	1	-3.67147124578662
7511	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-3.49687704906239
7512	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.00677588795355	0.0431034482758621	-0.709176935638901
7513	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.27226749577443	0.0431034482758621	-0.601910112612957
7514	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-2.71843238815351
7515	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.28332080124295	0.0431034482758621	-1.01007009146678
7516	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-110.706628573738	1	-2.03372748973096
7517	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-111.741070841632	1	-2.37411917675815
7518	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.664558685040436
7519	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.96502449733569
7520	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-113.193386363815	1	-0.299480416899746
7521	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-0.0726896927171568
7522	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.05550712438111	0.0431034482758621	-0.246565645129651
7523	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.14600783104965	0.0431034482758621	-0.733506069198987
7524	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.294589225935388
7525	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.27585744173251	0.0431034482758621	-0.418733422648584
7526	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-0.609026416499619
7527	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.318964146442878
7528	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-906.661248020842	1	-0.423530663830305
7529	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-0.049274948922965
7530	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	NA	0.0431034482758621	-0.298705827179409
7531	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.47009973981529
7532	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.09287749110575	0.0431034482758621	-0.778057846834639
7533	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.176572549437	1	-0.550809812776902
7534	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.48702765130423	0.0431034482758621	-0.68203544152347
7535	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-0.388644214612969
7536	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.497646449687	1	-0.196997442539683
7537	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-714.648759727374	1	-1.69721716321156
7538	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.29184502003904	0.0431034482758621	-0.604566738955311
7539	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-106.214672839974	22.5	-4.11105561711394
7540	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.831505787966	1	-4.68500479677288
7541	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-100.532812451405	1	-2.70327530464355
7542	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.497879464441	1	-0.701432056043109
