i	distance	psi	newpsi	ipsi	newipsi	likratio	priorratio	hratio	accept
7014	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7015	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7016	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7017	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7018	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7019	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7020	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7021	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7022	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7023	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7024	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7025	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7026	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7027	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7028	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7029	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7030	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7031	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7032	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7033	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7034	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7035	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7036	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7037	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7038	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7039	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7040	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7041	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
7042	0.0909090909090909	1.05	1.08	35	36	0.0273597010070175	-0.0281708769666963	-0.000811175959678879	FALSE
7043	0.0909090909090909	1.05	1.02	35	34	-0.0274811890426914	0.0289875368732524	0.00150634783056104	FALSE
